시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
전라북도,전주시,전북도청 서편(다목적광장),전라북도 전주시 완산구 효자동3가   1-0,4830,127.106782,35.819489,정길용
전라북도,완주군,우석대학교 운동장,전라북도 완주군 삼례읍 후정리 490-0,17260,127.066529,35.912586,
인천광역시,중구,인천국제공항 제2여객터미널 장기주차장,인천광역시 중구 운서동   3233-33,127500,126.415732,37.48211,권민철
전라북도,남원시,송동중학교 운동장,전라북도 남원시 송동면 신평리 48-3,20391,127.342878,35.363622,
전라북도,정읍시,신태인초등학교 운동장,전라북도 정읍시 신태인읍 신태인리 68-0,5626,126.889921,35.687217,행정실장
전라북도,고창군,성내중학교,전라북도 고창군 성내면 신성리 100-1,16452,126.744535,35.542658,김주현
경상북도,포항시,연일초등학교 운동장,경상북도 포항시 남구 연일읍 동문리 333-1,7200,129.34753,35.995084,조상수
대전광역시,동구,한국폴리텍Ⅳ대학 운동장,대전광역시 동구 가양동   91-2,4798,127.454019,36.350745,
경상북도,포항시,대송중학교 운동장,경상북도 포항시 남구 대송면 남성리 83-5,5000,129.359599,35.97774,조상수
경상북도,포항시,석리 마을회관 주변,경상북도 포항시 남구 동해면 석리 295-5,200,129.459753,35.987366,조상수
경상북도,포항시,탑정2리 마을회관 주변,경상북도 포항시 북구 기북면 탑정리 251-0,200,129.202572,36.153588,조상수
전라북도,남원시,산내중학교 운동장,전라북도 남원시 산내면 대정리 601-0,14520,127.627359,35.422541,
전라북도,남원시,남원제일고등학교운동장,전라북도 남원시 노암동   730-0,24763,127.374762,35.392082,
경상북도,영덕군,영덕고등학교,경상북도 영덕군 영덕읍 화개리 72,8213,129.368737,36.415617,
전라북도,정읍시,전북과학대학 운동장,전라북도 정읍시 시기동   산9-28,8769,126.860699,35.549978,총무담당
전라북도,정읍시,감곡초등학교 운동장,전라북도 정읍시 감곡면 방교리 493-0,20000,126.926212,35.718662,행정실장
전라북도,군산시,군산명화학교,전라북도 군산시 나운동   801-0,2458,126.690097,35.966035,
전라북도,고창군,성내초등학교,전라북도 고창군 성내면 양계리 479-0,8022,126.744429,35.537446,박금영
전라북도,고창군,신림중학교,전라북도 고창군 신림면 무림리 16-1,9900,126.717098,35.487071,박귀현
경상북도,포항시,석리 경로당 주변,경상북도 포항시 남구 동해면 석리 19-3,200,129.476217,35.990002,조상수
경상북도,포항시,곡강3리 마을회관 주변,경상북도 포항시 북구 흥해읍 곡강리 507-6,200,129.398453,36.128131,조상수
경상북도,포항시,오덕1리 마을회관 주변,경상북도 포항시 북구 기북면 오덕리 241-1,200,129.185784,36.165835,조상수
충청북도,충주시,산척초등학교 운동장,충청북도 충주시 산척면 송강리 1282-1,7260,127.957837,37.07928,
경상북도,영덕군,영덕군민운동장,경상북도 영덕군 영덕읍 화개리 251,15347,129.364573,36.41895,
전라북도,정읍시,덕천초등학교 운동장,전라북도 정읍시 덕천면 우덕리 352-0,7891,126.844835,35.620943,행정실장
전라북도,정읍시,정읍어린이교통공원,전라북도 정읍시 상동   271-9,8000,126.869477,35.55595,공원담당
전라북도,고창군,가평초등학교,전라북도 고창군 신림면 가평리 639-0,7049,126.738357,35.477347,김란
전라북도,고창군,월산 테니스장,전라북도 고창군 고창읍 월암리 158-0,10595,126.727221,35.431649,
전라북도,고창군,고창읍성 공원,전라북도 고창군 고창읍 읍내리 산7-0,7853,126.704554,35.432224,
대전광역시,동구,대전은어송초등학교 운동장,대전광역시 동구 대성동   129-0,12869,127.456882,36.302544,
대전광역시,동구,대전은어송중학교 운동장,대전광역시 동구 대성동   134-0,14694,127.46101,36.300354,
경기도,남양주시,남양주 샛별초등학교 운동장,경기도 남양주시 별내동   870-0,3862,127.129112,37.665581,백구현
경기도,남양주시,남양주 공업고등학교 운동장,경기도 남양주시 화도읍 월산리 99-0,2400,127.33389,37.652971,백구현
경상북도,포항시,원동7 근린공원,경상북도 포항시 남구 오천읍 원리 1429-0,9600,129.40858,35.972779,조상수
경상북도,포항시,홍계리 마을회관 주변,경상북도 포항시 남구 대송면 홍계리 120-2,200,129.339003,35.953027,조상수
경상북도,포항시,홍계리경로당 주변,경상북도 포항시 남구 대송면 홍계리 286-0,200,129.332217,35.948342,조상수
경상북도,포항시,금광2리 마을회관 주변,경상북도 포항시 남구 동해면 금광리 595-7,200,129.453724,35.967491,조상수
경상북도,포항시,임곡교 옆 삼거리,경상북도 포항시 남구 동해면 임곡리 597-0,200,129.456178,35.99303,조상수
경상북도,포항시,월평리 마을회관 주변,경상북도 포항시 북구 죽장면 월평리 399-1,200,129.069909,36.204701,조상수
전라북도,남원시,한국경마축산고등학교 운동장,전라북도 남원시 운봉읍 준향리 477-1,59916,127.515816,35.440837,
전라북도,정읍시,영원초등학교 운동장,전라북도 정읍시 영원면 은선리 713-2,5826,126.784667,35.655797,행정실장
전라북도,정읍시,다솜학교 운동장,전라북도 정읍시 과교동   408-5,1082,126.833521,35.548714,행정실장
경상북도,영덕군,영해초등학교 운동장,경상북도 영덕군 영해면 성내리 386,6033,129.41106,36.538718,
경상북도,영덕군,농협하나로마트 원황지점,경상북도 영덕군 병곡면 원황리 589-9,1957,129.399559,36.571486,
경상북도,영덕군,인량리 나라골보리말 체험학교 앞 공터,경상북도 영덕군 창수면 인량리 212,1586,129.371376,36.551872,
전라북도,전주시,전주금평초등학교(운동장),전라북도 전주시 덕진구 인후동2가   1536-0,5250,127.147018,35.843933,이상덕
경상북도,포항시,연일형산초등학교 운동장,경상북도 포항시 남구 연일읍 생지리 333-6,3000,129.341758,35.998571,조상수
경상북도,포항시,탑정1리 마을회관 주변,경상북도 포항시 북구 기북면 탑정리 747-0,200,129.186277,36.156379,조상수
경상남도,거제시,능포초등학교,경상남도 거제시 능포동   440-0,2431,128.73682,34.880861,
경상남도,거제시,거제공업고등학교,경상남도 거제시 고현동   920-2,1158,128.614248,34.882359,
경상남도,거제시,수월중학교,경상남도 거제시 수월동   1165-0,2896,128.6455,34.890716,
전라북도,김제시,금성여자중학교,전라북도 김제시 신풍동   144-1,4796,126.898687,35.797641,
전라북도,김제시,황강초등학교,전라북도 김제시 공덕면 마현리 448-0,5499,126.924544,35.876029,
대구광역시,중구,신천둔치,대구광역시 중구 동인동3가   379,22502,128.364146,35.522459,김병수
전라북도,정읍시,산외초등학교 운동장,전라북도 정읍시 산외면 평사리 451-0,5544,127.041475,35.620584,행정실장
전라북도,정읍시,정읍동초등학교 운동장,전라북도 정읍시 장명동   29-0,3600,126.862304,35.566999,행정실장
전라북도,정읍시,내장초등학교 운동장,전라북도 정읍시 금붕동   98-1,3208,126.892898,35.535268,행정실장
경상북도,영덕군,옥류리 마을 앞 공터,경상북도 영덕군 지품면 옥류리 331,196,129.298273,36.477747,
경상북도,영덕군,보건지소 뒤 공터,경상북도 영덕군 영해면 사진리 1220-730,1472,129.438739,36.531353,
경상북도,영덕군,대구카톨릭대학교수련원,경상북도 영덕군 영해면 원구리 146-1,3898,129.379847,36.540159,
전라북도,군산시,공설운동장(사정금호1차부근),전라북도 군산시 사정동   146-2,1500,126.745613,35.963208,
전라북도,군산시,동부시장앞,전라북도 군산시 경암동   677-8,662,126.728235,35.976023,
전라북도,전주시,전북중학교(운동장),전라북도 전주시 덕진구 동산동   685-1,3100,127.076596,35.874989,김철수
전라북도,전주시,전주덕진초등학교(운동장),전라북도 전주시 덕진구 덕진동1가   1272-2,5770,127.124526,35.841305,임창군
경상북도,포항시,학전리 마을회관 주변,경상북도 포항시 남구 연일읍 학전리 167-2,200,129.300945,36.026769,조상수
경상북도,포항시,양백2리 마을회관 주변,경상북도 포항시 북구 흥해읍 양백리 204-0,200,129.324918,36.130868,조상수
경상북도,포항시,학천초등학교 운동장,경상북도 포항시 북구 흥해읍 학천리 109-0,3000,129.328148,36.076849,조상수
전라북도,김제시,덕암고등학교,전라북도 김제시 서암동   5-0,8520,126.885082,35.813567,
인천광역시,중구,인천국제공항 제2여객터미널 썬큰가든,인천광역시 중구 운서동   2868-0,14000,126.433043,37.470125,권민철
전라북도,남원시,남원고등학교 운동장,전라북도 남원시 향교동   412-0,7636,127.380911,35.420532,
경상북도,영덕군,구 초등학교(문화예술체험장),경상북도 영덕군 영덕읍 매정리 88,4370,129.422033,36.44525,
경상북도,영덕군,위정관광 농원 옆 공터,경상북도 영덕군 창수면 신기리 276-1,2457,129.326135,36.549628,
전라북도,군산시,어린이 30공원,전라북도 군산시 나운동   869-7,1571,126.687965,35.957168,
전라북도,군산시,미장택지 4공원,전라북도 군산시 미장동   506-0,1589,126.72989,35.967961,
전라북도,군산시,서수문화마을,전라북도 군산시 서수면 서수리 2100-1,1291,126.866445,35.9829,
전라북도,전주시,전일중학교(운동장),전라북도 전주시 덕진구 인후동2가   39-16,7700,127.145096,35.838407,백광흠
전라북도,고창군,목우길마을광장,전라북도 고창군 무장면 목우리 307-3,163,126.4873,35.415495,김태형
경상북도,포항시,하정3리 버스승강장 주변,경상북도 포항시 남구 구룡포읍 하정리 28-8,200,129.550855,35.974731,조상수
충청남도,금산군,금산중앙초등학교 운동장,충청남도 금산군 금산읍 상옥리 137-1,3970,127.487167,36.101445,김나경
충청남도,금산군,금산여자고등학교 운동장,충청남도 금산군 금산읍 아인리 9-1,3482,127.48442,36.105039,김경태
충청남도,금산군,금산중고등학교 운동장,충청남도 금산군 금산읍 중도리 166-0,2750,127.495292,36.106956,김돈희
충청남도,금산군,남일초등학교 운동장,충청남도 금산군 남일면 초현리 253-2,3019,127.503718,36.043329,임문익
충청남도,공주시,공주교대부설초등학교 운동장,충청남도 공주시 금학동   231-1,1110,,,
충청남도,부여군,외산초등학교 운동장,충청남도 부여군 외산면 장항리 211-1,4200,126.71588,36.315269,
충청남도,부여군,외산중학교 운동장,충청남도 부여군 외산면 만수리 34-29,5000,126.701122,36.299608,
충청남도,아산시,영인중학교 운동장,충청남도 아산시 영인면 아산리 35-6,8400,126.960764,36.854401,
충청남도,태안군,안면초 운동장,충청남도 태안군 안면읍 승언리 846-4,5949,,,
대구광역시,동구,신아중학교(운동장),대구광역시 동구 신암동   28,8228,128.634912,35.888522,안선영
대구광역시,동구,청구고등학교(운동장),대구광역시 동구 신천동   850-6,9779,128.620247,35.868401,송준홍
대구광역시,동구,공산중학교(운동장),대구광역시 동구 백안동   560-5,6309,128.689687,35.955105,김영숙
대구광역시,동구,달구벌고등학교(운동장),대구광역시 동구 덕곡동   75-5,4395,128.610879,35.994536,김익한
대구광역시,동구,대구관광고등학교(운동장),대구광역시 동구 신암동   80-0,6387,128.631813,35.890405,김정미
대구광역시,동구,대구선명학교(운동장),대구광역시 동구 덕곡동   34,1800,128.612695,35.996684,윤재연
대구광역시,동구,대구일마이스터고등학교(운동장),대구광역시 동구 효목동   212,7600,128.646484,35.882505,윤광수
대구광역시,동구,동촌초등학교(운동장),대구광역시 동구 방촌동   1047-0,5162,128.659129,35.882073,김은화
대구광역시,동구,봉무초등학교(운동장),대구광역시 동구 봉무동   1527-0,3916,128.637288,35.9255,박미경
충청남도,공주시,귀산초등학교 운동장,충청남도 공주시 우성면 귀산리 135-0,3400,,,
충청남도,공주시,공주중학교 운동장,충청남도 공주시 금성동   85-0,5000,,,
충청남도,공주시,공주여자중학교 운동장,충청남도 공주시 교동   3-2,2600,,,
충청남도,공주시,신관초등학교 운동장,충청남도 공주시 신관동   318-1,3000,,,
충청남도,부여군,합송초등학교 운동장,충청남도 부여군 규암면 합송리 986-1,4200,126.84578,36.26641,
충청남도,아산시,온양용화중학교 운동장,충청남도 아산시 용화동   44-1,6790,127.006811,36.774871,
충청남도,아산시,영인초등학교 운동장,충청남도 아산시 영인면 아산리 412-2,15718,126.953276,36.854221,
